FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,AREA,TOTAL,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,1.0,IGUESTE DE SAN ANDRES,37,ANAGA,4.0,6.0,3.0,7.0,5.0,10.0,14.0,20.0,14.0,20.0,31.0,22.0,27.0,21.0,17.0,22.0,11.0,5.0,0.0,1.0,0.0,260.0,9.0,9.0,7.0,6.0,10.0,22.0,12.0,16.0,15.0,25.0,24.0,27.0,23.0,18.0,14.0,16.0,6.0,10.0,3.0,2.0,1.0,275.0,1.12551591446E7,535.0,386027.551245,3157451.80279,-16.164973018,28.5388712223
1.0,2.0,VALLESECO,74,ANAGA,31.0,45.0,61.0,49.0,55.0,64.0,88.0,98.0,92.0,110.0,93.0,74.0,48.0,58.0,50.0,50.0,36.0,16.0,4.0,0.0,2.0,1124.0,32.0,51.0,40.0,58.0,43.0,60.0,69.0,82.0,97.0,87.0,82.0,66.0,48.0,68.0,72.0,65.0,59.0,23.0,6.0,3.0,2.0,1113.0,4213360.37635,2237.0,378190.303962,3153405.86594,-16.244637817,28.5016481037
2.0,3.0,LOS CAMPITOS,17,ANAGA,16.0,29.0,15.0,22.0,28.0,24.0,45.0,57.0,31.0,45.0,45.0,24.0,43.0,23.0,14.0,15.0,16.0,4.0,3.0,1.0,1.0,501.0,13.0,16.0,20.0,20.0,24.0,22.0,42.0,41.0,37.0,38.0,39.0,41.0,36.0,28.0,22.0,19.0,16.0,7.0,3.0,1.0,0.0,485.0,3229602.5822,986.0,376001.852626,3151604.29357,-16.2667995069,28.4851829752
3.0,4.0,ACORAN,2,SUROESTE,74.0,102.0,93.0,63.0,67.0,70.0,92.0,145.0,169.0,172.0,109.0,69.0,49.0,28.0,22.0,10.0,8.0,2.0,2.0,0.0,0.0,1346.0,92.0,117.0,80.0,72.0,54.0,60.0,127.0,189.0,173.0,137.0,102.0,58.0,34.0,18.0,14.0,9.0,9.0,4.0,0.0,0.0,0.0,1349.0,879896.587594,2695.0,372142.946238,3143981.0926,-16.305369708,28.416015347
4.0,5.0,LA GALLEGA,32,SUROESTE,208.0,304.0,289.0,197.0,159.0,150.0,201.0,435.0,491.0,315.0,196.0,122.0,95.0,53.0,39.0,17.0,16.0,4.0,1.0,1.0,0.0,3293.0,225.0,322.0,222.0,167.0,144.0,160.0,323.0,492.0,476.0,304.0,183.0,107.0,99.0,60.0,39.0,27.0,9.0,8.0,6.0,3.0,0.0,3376.0,1575399.19053,6669.0,370464.244639,3145715.87333,-16.322699494,28.4315053058
5.0,6.0,SAN SEBASTIAN,58,SALUD - LA SALLE,22.0,32.0,29.0,31.0,26.0,45.0,51.0,50.0,50.0,56.0,58.0,40.0,50.0,29.0,31.0,18.0,12.0,8.0,3.0,3.0,0.0,644.0,20.0,28.0,28.0,28.0,29.0,33.0,54.0,80.0,58.0,62.0,53.0,59.0,46.0,41.0,35.0,28.0,34.0,19.0,8.0,4.0,1.0,748.0,67595.7437955,1392.0,377209.279256,3149280.04873,-16.2542188663,28.4643219484
6.0,7.0,LA SALLE,53,SALUD - LA SALLE,197.0,287.0,303.0,280.0,264.0,365.0,468.0,529.0,567.0,480.0,435.0,358.0,345.0,321.0,293.0,176.0,153.0,69.0,30.0,6.0,4.0,5930.0,196.0,248.0,254.0,249.0,309.0,408.0,505.0,513.0,526.0,540.0,458.0,467.0,459.0,445.0,372.0,297.0,224.0,161.0,82.0,22.0,6.0,6741.0,512282.194707,12671.0,376669.068015,3148982.97834,-16.259703833,28.4615900695
7.0,8.0,LA VICTORIA,75,SALUD - LA SALLE,8.0,20.0,5.0,19.0,18.0,14.0,29.0,32.0,34.0,27.0,29.0,27.0,26.0,17.0,26.0,18.0,8.0,5.0,1.0,0.0,0.0,363.0,11.0,11.0,21.0,19.0,14.0,25.0,15.0,34.0,37.0,31.0,38.0,29.0,22.0,28.0,26.0,22.0,29.0,26.0,11.0,4.0,2.0,455.0,57045.4842277,818.0,376555.542417,3148713.51326,-16.2608343108,28.4591475325
8.0,9.0,DUGGI,30,CENTRO - IFARA,100.0,117.0,103.0,90.0,131.0,144.0,181.0,237.0,259.0,218.0,195.0,159.0,109.0,139.0,132.0,106.0,85.0,49.0,15.0,9.0,0.0,2578.0,90.0,114.0,91.0,106.0,129.0,163.0,223.0,241.0,256.0,239.0,191.0,204.0,180.0,214.0,162.0,144.0,153.0,100.0,42.0,17.0,9.0,3068.0,174575.47195,5646.0,376749.901084,3149481.86761,-16.2589317485,28.4660999273
9.0,10.0,URUGUAY,72,CENTRO - IFARA,21.0,24.0,19.0,23.0,30.0,36.0,54.0,41.0,42.0,52.0,52.0,54.0,36.0,22.0,28.0,25.0,21.0,16.0,3.0,1.0,4.0,604.0,17.0,21.0,27.0,20.0,32.0,50.0,47.0,43.0,52.0,53.0,49.0,43.0,36.0,34.0,36.0,31.0,28.0,27.0,20.0,12.0,3.0,681.0,93740.3110211,1285.0,375999.11084,3149814.50832,-16.266634917,28.46903065
